service_id,date,exception_type
20701,20221103,1
20701,20221107,1
20701,20221108,1
20701,20221109,1
20701,20221110,1
20701,20221111,1
20701,20221114,1
20701,20221115,1
20701,20221116,1
20701,20221117,1
20701,20221118,1
20701,20221119,1
20701,20221120,1
20701,20221121,1
20701,20221122,1
20701,20221123,1
20701,20221124,1
20701,20221125,1
20701,20221126,1
20701,20221127,1
20701,20221128,1
20701,20221129,1
20701,20221130,1
20701,20221201,1
20702,20221031,1
20702,20221101,1
20702,20221104,1
20702,20221105,1
20702,20221106,1
20702,20221111,1
20702,20221112,1
20702,20221113,1
20702,20221118,1
20702,20221119,1
20702,20221120,1
20702,20221125,1
20702,20221126,1
20702,20221127,1
20703,20221031,1
20703,20221101,1
20703,20221105,1
20703,20221106,1
20703,20221112,1
20703,20221113,1
20703,20221119,1
20703,20221120,1
20703,20221126,1
20703,20221127,1
20704,20221031,1
20704,20221101,1
20704,20221105,1
20704,20221106,1
20704,20221112,1
20704,20221113,1
20704,20221120,1
20704,20221126,1
20704,20221127,1
20705,20221031,1
20705,20221101,1
20705,20221105,1
20705,20221106,1
20705,20221112,1
20705,20221113,1
20705,20221126,1
20705,20221127,1
20706,20221031,1
20706,20221101,1
20706,20221112,1
20706,20221113,1
20706,20221126,1
20706,20221127,1
20707,20221031,1
20707,20221101,1
20707,20221119,1
20707,20221120,1
20707,20221126,1
20707,20221127,1
20708,20221031,1
20708,20221102,1
20708,20221103,1
20708,20221104,1
20708,20221105,1
20708,20221107,1
20708,20221108,1
20708,20221109,1
20708,20221110,1
20708,20221111,1
20708,20221112,1
20708,20221114,1
20708,20221115,1
20708,20221116,1
20708,20221117,1
20708,20221118,1
20708,20221119,1
20708,20221121,1
20708,20221122,1
20708,20221123,1
20708,20221124,1
20708,20221125,1
20708,20221126,1
20708,20221128,1
20708,20221129,1
20708,20221130,1
20708,20221201,1
20709,20221031,1
20709,20221105,1
20709,20221112,1
20709,20221119,1
20709,20221126,1
20710,20221101,1
20710,20221106,1
20710,20221113,1
20710,20221120,1
20710,20221127,1
20711,20221102,1
20711,20221103,1
20711,20221104,1
20711,20221107,1
20711,20221108,1
20711,20221109,1
20711,20221110,1
20711,20221111,1
20711,20221114,1
20711,20221115,1
20711,20221116,1
20711,20221117,1
20711,20221118,1
20711,20221119,1
20711,20221121,1
20711,20221122,1
20711,20221123,1
20711,20221124,1
20711,20221125,1
20711,20221128,1
20711,20221129,1
20711,20221130,1
20711,20221201,1
20712,20221102,1
20712,20221103,1
20712,20221104,1
20712,20221107,1
20712,20221108,1
20712,20221109,1
20712,20221110,1
20712,20221111,1
20712,20221114,1
20712,20221115,1
20712,20221116,1
20712,20221117,1
20712,20221118,1
20712,20221121,1
20712,20221122,1
20712,20221123,1
20712,20221124,1
20712,20221125,1
20712,20221128,1
20712,20221129,1
20712,20221130,1
20712,20221201,1
20713,20221102,1
20713,20221103,1
20713,20221107,1
20713,20221108,1
20713,20221109,1
20713,20221110,1
20713,20221111,1
20713,20221114,1
20713,20221115,1
20713,20221116,1
20713,20221117,1
20713,20221118,1
20713,20221121,1
20713,20221122,1
20713,20221123,1
20713,20221124,1
20713,20221125,1
20713,20221128,1
20713,20221129,1
20713,20221130,1
20713,20221201,1
20714,20221102,1
20714,20221103,1
20714,20221107,1
20714,20221108,1
20714,20221109,1
20714,20221110,1
20714,20221114,1
20714,20221115,1
20714,20221116,1
20714,20221117,1
20714,20221121,1
20714,20221122,1
20714,20221123,1
20714,20221124,1
20714,20221128,1
20714,20221129,1
20714,20221130,1
20714,20221201,1
20715,20221104,1
20716,20221104,1
20716,20221105,1
20716,20221106,1
20716,20221112,1
20716,20221113,1
20717,20221104,1
20717,20221111,1
20717,20221118,1
20717,20221125,1
20718,20221105,1
20719,20221105,1
20719,20221106,1
20720,20221105,1
20720,20221106,1
20720,20221112,1
20720,20221113,1
20721,20221106,1
20721,20221112,1
20721,20221113,1
20722,20221119,1
20723,20221119,1
20723,20221120,1
C04183AHPMAA-011,20221102,1
C04183AHPMAA-011,20221103,1
C04183AHPMAA-011,20221104,1
C04183AHPMAA-011,20221107,1
C04183AHPMAA-011,20221108,1
C04183AHPMAA-011,20221109,1
C04183AHPMAA-011,20221110,1
C04183AHPMAA-011,20221111,1
C04183AHPMAA-011,20221114,1
C04183AHPMAA-011,20221115,1
C04183AHPMAA-011,20221116,1
C04183AHPMAA-011,20221117,1
C04183AHPMAA-011,20221118,1
C04183AHPMAA-011,20221121,1
C04183AHPMAA-011,20221122,1
C04183AHPMAA-011,20221123,1
C04183AHPMAA-011,20221124,1
C04183AHPMAA-011,20221125,1
C04183AHPMAA-011,20221128,1
C04183AHPMAA-011,20221129,1
C04183AHPMAA-011,20221130,1
C04183AHPMAA-011,20221201,1
C04184ASVMAA-011,20221030,1
C04184ASVMAA-011,20221031,1
C04184ASVMAA-011,20221101,1
C04184ASVMAA-011,20221105,1
C04184ASVMAA-011,20221106,1
C04184ASVMAA-011,20221112,1
C04184ASVMAA-011,20221113,1
C04184ASVMAA-011,20221119,1
C04184ASVMAA-011,20221120,1
C04184ASVMAA-011,20221126,1
C04184ASVMAA-011,20221127,1
C10885AVVKZ-0021,20221120,1
C10885AVVKZ-0021,20221127,1
C10919ASZKZ-0011,20221031,1
C10919ASZKZ-0011,20221105,1
C10919ASZKZ-0011,20221112,1
C10919ASZKZ-0011,20221119,1
C10919ASZKZ-0011,20221126,1
C10922AVVKZ-0011,20221030,1
C10922AVVKZ-0011,20221101,1
C10922AVVKZ-0011,20221106,1
C10922AVVKZ-0011,20221113,1
C10922AVVKZ-0011,20221120,1
C10922AVVKZ-0011,20221127,1
C11205ASZSzN-011,20221031,1
C11205ASZSzN-011,20221105,1
C11205ASZSzN-011,20221112,1
C11205ASZSzN-011,20221119,1
C11205ASZSzN-011,20221126,1
C11275AHPBYR-031,20221102,1
C11350AVVSzN-011,20221030,1
C11350AVVSzN-011,20221101,1
C11350AVVSzN-011,20221106,1
C11350AVVSzN-011,20221113,1
C11350AVVSzN-011,20221120,1
