pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM3LE1-LM3LEI,2,1,LM3LE1,LM3LEI,30
LM1HTV-F01102,2,1,LM1HTV,F01102,30
LM3LE1-LM3LEE,2,1,LM3LE1,LM3LEE,30
LM3LE1-LM3LEF,2,1,LM3LE1,LM3LEF,30
LM4BP1-056218,1,1,LM4BP1,056218,90
LM3LE1-LM3LEG,2,1,LM3LE1,LM3LEG,30
LM3LE1-LM3LEH,2,1,LM3LE1,LM3LEH,30
056234-LM4KP3-WC,5,0,056234,LM4KP3,60
LM3AH2-LM3AHF-WC,5,1,LM3AH2,LM3AHF,60
LM4KF2-LM4KFC,2,1,LM4KF2,LM4KFC,180
LM4KF2-LM4KFB,2,1,LM4KF2,LM4KFB,150
LM4KF2-LM4KFD,2,1,LM4KF2,LM4KFD,150
LM4KF2-LM4KFA,2,1,LM4KF2,LM4KFA,90
056234-LM4KP3,2,0,056234,LM4KP3,90
LM4SG2-056223-WC,1,1,LM4SG2,056223,90
LM1DF2-F00963,2,1,LM1DF2,F00963,30
056215-LM4KF3-WC,1,0,056215,LM4KF3,120
LM4KF2-056216-WC,5,0,LM4KF2,056216,120
056228-F01290,2,1,056228,F01290,120
L008162-F02684,2,1,L008162,F02684,30
L008162-F02685,2,1,L008162,F02685,30
LM2BL1-F01291,2,1,LM2BL1,F01291,60
LM2AS1-F01018,2,1,LM2AS1,F01018,60
LM4KP2-LMXKPL,2,1,LM4KP2,LMXKPL,180
LM2AS1-F01019,2,1,LM2AS1,F01019,60
LM4KP2-LMXKPM,2,1,LM4KP2,LMXKPM,180
LM4KP2-LMXKPJ,2,1,LM4KP2,LMXKPJ,60
LM2BL1-F01292,2,1,LM2BL1,F01292,60
LM4KP2-LMXKPN,2,1,LM4KP2,LMXKPN,180
LM2PF2-F01325-WC,5,1,LM2PF2,F01325,60
LM4KP2-LMXKPD,2,1,LM4KP2,LMXKPD,30
LM4KP2-LMXKPE,2,1,LM4KP2,LMXKPE,30
LM1VTM-F00965,2,1,LM1VTM,F00965,30
LM4KP2-LMXKPB,2,1,LM4KP2,LMXKPB,30
LM4KP2-LMXKPC,2,1,LM4KP2,LMXKPC,30
056228-F01289,2,1,056228,F01289,120
LM4KP2-LMXKPH,2,1,LM4KP2,LMXKPH,120
LM4KP2-LMXKPI,2,1,LM4KP2,LMXKPI,60
LM4KP2-LMXKPG,2,1,LM4KP2,LMXKPG,120
LM2AS1-LM2ASJ,2,1,LM2AS1,LM2ASJ,30
LM2AS1-LM2ASI,2,1,LM2AS1,LM2ASI,30
LM4KF2-056216,2,0,LM4KF2,056216,30
LM4KF4-056216,2,0,LM4KF4,056216,60
LM2AS1-LM2ASF,2,1,LM2AS1,LM2ASF,30
LM2AS1-LM2ASE,2,1,LM2AS1,LM2ASE,30
LM4KP2-LMXKPA,2,1,LM4KP2,LMXKPA,30
LM2AS1-LM2ASH,2,1,LM2AS1,LM2ASH,30
LM2AS1-LM2ASG,2,1,LM2AS1,LM2ASG,30
LM1HTM-F01103,2,1,LM1HTM,F01103,30
F01544-LM3KK3-WC,5,0,F01544,LM3KK3,90
LM4MK3-056221-WC,1,1,LM4MK3,056221,60
LM4BP2-056218,2,1,LM4BP2,056218,60
LM4BP2-056217,2,1,LM4BP2,056217,60
LM1OPM-F01080,2,1,LM1OPM,F01080,30
LM3KK1-F01543-WC,5,0,LM3KK1,F01543,90
F00912-L008186,2,0,F00912,L008186,30
LM3HU1-F01542,2,1,LM3HU1,F01542,30
LM3DG1-LM3DGB-WC,5,1,LM3DG1,LM3DGB,60
LM3HU1-F01541,2,1,LM3HU1,F01541,30
LM4KV2-LM4KVF,2,1,LM4KV2,LM4KVF,90
LM4KV2-LM4KVG,2,1,LM4KV2,LM4KVG,90
056215-LM4KF4,2,0,056215,LM4KF4,60
056234-F01336,2,1,056234,F01336,250
056234-F01335,2,1,056234,F01335,250
056215-LM4KF2,2,0,056215,LM4KF2,30
056215-LM4KF1,2,0,056215,LM4KF1,60
LM2AS1-LM2ASB,2,1,LM2AS1,LM2ASB,30
LM2AS1-LM2ASA,2,1,LM2AS1,LM2ASA,30
LM2AS1-LM2ASD,2,1,LM2AS1,LM2ASD,30
LM1VUM-F01093,2,1,LM1VUM,F01093,30
LM2AS1-LM2ASC,2,1,LM2AS1,LM2ASC,30
LM2SZ1-F02480,2,1,LM2SZ1,F02480,60
LM2SZ1-F02481,2,1,LM2SZ1,F02481,60
LM3HU1-LM3HUB,2,1,LM3HU1,LM3HUB,30
LM3HU1-LM3HUA,2,1,LM3HU1,LM3HUA,30
LM4FT2-056225,1,1,LM4FT2,056225,90
LM3KK2-F01543,2,0,LM3KK2,F01543,60
L008159-F02682-WC,5,1,L008159,F02682,60
LM3KK3-F01543-WC,5,0,LM3KK3,F01543,90
LM3DG1-LM3DGF,2,1,LM3DG1,LM3DGF,30
LM4MK1-LM4MKB,2,1,LM4MK1,LM4MKB,60
LM3DG1-LM3DGE,2,1,LM3DG1,LM3DGE,30
LM4KF4-LM4KFA,2,1,LM4KF4,LM4KFA,150
LM4MK1-LM4MKA,2,1,LM4MK1,LM4MKA,30
L008163-F00897,2,1,L008163,F00897,30
LM4KF4-LM4KFB,2,1,LM4KF4,LM4KFB,60
LM4MK1-LM4MKD,2,1,LM4MK1,LM4MKD,60
L008163-F00898,2,1,L008163,F00898,30
LM4KF4-LM4KFC,2,1,LM4KF4,LM4KFC,90
LM4MK1-LM4MKC,2,1,LM4MK1,LM4MKC,60
LM4KF4-LM4KFD,2,1,LM4KF4,LM4KFD,60
LM3KV2-LM3KVE,2,1,LM3KV2,LM3KVE,30
LM3LE2-LM3LEC,2,1,LM3LE2,LM3LEC,30
LM1OKM-F01086,2,1,LM1OKM,F01086,30
LM3KV2-LM3KVD,2,1,LM3KV2,LM3KVD,30
LM3LE2-LM3LEB,2,1,LM3LE2,LM3LEB,30
LM3KV2-LM3KVC,2,1,LM3KV2,LM3KVC,30
LM3KV2-LM3KVB,2,1,LM3KV2,LM3KVB,30
LM3LE2-LM3LED,2,1,LM3LE2,LM3LED,30
LM3KV2-LM3KVA,2,1,LM3KV2,LM3KVA,90
LM3DG1-LM3DGB,2,1,LM3DG1,LM3DGB,30
LM3DG1-LM3DGA,2,1,LM3DG1,LM3DGA,30
LM3LE2-LM3LEA,2,1,LM3LE2,LM3LEA,30
LM3DG1-LM3DGD,2,1,LM3DG1,LM3DGD,30
LM3DG1-LM3DGC,2,1,LM3DG1,LM3DGC,30
L008186-F00913-WC,5,0,L008186,F00913,60
LM3NT1-LM3NTB,2,0,LM3NT1,LM3NTB,30
LM3NT1-LM3NTA,2,0,LM3NT1,LM3NTA,30
LM3NT1-LM3NTD,2,0,LM3NT1,LM3NTD,30
LM3NT1-LM3NTC,2,0,LM3NT1,LM3NTC,30
LM2PU1-F01742,2,1,LM2PU1,F01742,30
LM2KP1-LMXKPF-WC,5,1,LM2KP1,LMXKPF,60
LM4SG1-056224,2,1,LM4SG1,056224,60
LM2KP1-F01335,2,1,LM2KP1,F01335,120
LM4SG1-056223,2,1,LM4SG1,056223,60
LM3AH1-LM3AHB,2,1,LM3AH1,LM3AHB,30
LM3AH1-LM3AHA,2,1,LM3AH1,LM3AHA,60
LM3AH1-LM3AHD,2,1,LM3AH1,LM3AHD,90
LM3AH1-LM3AHC,2,1,LM3AH1,LM3AHC,30
LM4MK1-056221,2,1,LM4MK1,056221,30
LM3KK3-F01543,2,0,LM3KK3,F01543,60
LM4MK1-056222,2,1,LM4MK1,056222,30
LM4MK3-056222,1,1,LM4MK3,056222,60
LM1MUM-F02888,2,1,LM1MUM,F02888,15
LM3AH1-F02637-WC,5,1,LM3AH1,F02637,60
L008162-F02685-WC,5,1,L008162,F02685,60
