StopName_A,StopName_B,Location_A,Location_B,StopID_A,StopID_B,Route_A,Route_B,RouteColor_A,RouteColor_B
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560391, 19.090816)",F00801,F00805,104,914A,009EE3,000000
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560437, 19.08976)",F00801,F00913,104,M3,009EE3,005CA5
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560454, 19.090377)",F00801,F00803,104,996A,009EE3,000000
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560454, 19.090377)",F00801,F00803,104,930,009EE3,000000
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560454, 19.090377)",F00801,F00803,104,996,009EE3,000000
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560391, 19.090816)",F00801,F00805,104,950,009EE3,000000
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.560391, 19.090816)",F00801,F00805,104,950A,009EE3,000000
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.56102, 19.090218)",F00801,F00804,104,230,009EE3,009EE3
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.561488, 19.089913)",F00801,F00910,104,30,009EE3,009EE3
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.56102, 19.090218)",F00801,F00804,104,30,009EE3,009EE3
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.561488, 19.089913)",F00801,F00910,104,30A,009EE3,009EE3
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.56102, 19.090218)",F00801,F00804,104,30A,009EE3,009EE3
Újpest-központ,Újpest-központ,"(47.560184, 19.090683)","(47.561488, 19.089913)",F00801,F00910,104,230,009EE3,009EE3
Árpád út,Árpád út,"(47.56106, 19.079522)","(47.561948, 19.107706)",F00808,F00840,104,121,009EE3,009EE3
Árpád út,Árpád út,"(47.56106, 19.079522)","(47.563269, 19.110338)",F00808,F00842,104,121,009EE3,009EE3
Árpád út,Árpád út,"(47.56106, 19.079522)","(47.563269, 19.110338)",F00808,F00842,104,270,009EE3,009EE3
Újpest-városkapu,Újpest-városkapu,"(47.560492, 19.083468)","(47.56069, 19.083016)",F00809,F00810,104,104A,009EE3,009EE3
Újpest-városkapu,Újpest-városkapu,"(47.560492, 19.083468)","(47.56069, 19.083016)",F00809,F00810,104,204,009EE3,009EE3
Újpest-városkapu,Újpest-városkapu,"(47.560492, 19.083468)","(47.56069, 19.083016)",F00809,F00810,104,196,009EE3,009EE3
Újpest-városkapu,Újpest-városkapu,"(47.560492, 19.083468)","(47.56069, 19.083016)",F00809,F00810,104,950,009EE3,000000
Újpest-városkapu,Újpest-városkapu,"(47.560492, 19.083468)","(47.56069, 19.083016)",F00809,F00810,104,950A,009EE3,000000
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,25,009EE3,009EE3
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,220,009EE3,009EE3
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,170,009EE3,009EE3
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,270,009EE3,009EE3
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,104A,009EE3,009EE3
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,204,009EE3,009EE3
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,914,009EE3,000000
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,996A,009EE3,000000
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,996,009EE3,000000
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,950,009EE3,000000
Erzsébet utca,Erzsébet utca,"(47.559705, 19.095306)","(47.559931, 19.093818)",F00854,F00855,104,950A,009EE3,000000
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,124,009EE3,009EE3
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,125,009EE3,009EE3
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,125B,009EE3,009EE3
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,96,009EE3,009EE3
Hubay Jenő tér,Hubay Jenő tér,"(47.562905, 19.117925)","(47.563496, 19.115618)",F03048,F03050,104,296,009EE3,009EE3
